# x	y	u	v	flags	mask
4.8900e+02	3.9700e+02	-6.9644e+01	-7.7125e+01	0.0000e+00	0.0000e+00
5.1000e+02	3.9700e+02	1.2213e+01	-6.9737e+01	0.0000e+00	0.0000e+00
5.3100e+02	3.9700e+02	6.7461e+01	8.0268e+01	0.0000e+00	0.0000e+00
5.5200e+02	3.9700e+02	-6.7894e+01	7.7370e+01	0.0000e+00	0.0000e+00
5.7300e+02	3.9700e+02	-8.6159e+00	-7.1168e+01	0.0000e+00	0.0000e+00
5.9400e+02	3.9700e+02	-1.4250e+01	-7.1374e+01	0.0000e+00	0.0000e+00
6.1500e+02	3.9700e+02	-8.4050e+01	-1.1642e+01	0.0000e+00	0.0000e+00
6.3600e+02	3.9700e+02	-4.0728e+01	-9.5328e+00	0.0000e+00	0.0000e+00
6.5700e+02	3.9700e+02	9.4753e-01	-4.7519e+00	0.0000e+00	0.0000e+00
6.7800e+02	3.9700e+02	1.5595e+02	-7.2528e-01	0.0000e+00	0.0000e+00
6.9900e+02	3.9700e+02	7.2224e+01	-1.1467e+00	0.0000e+00	0.0000e+00
7.2000e+02	3.9700e+02	7.8923e+01	-5.2038e-01	0.0000e+00	0.0000e+00
7.4100e+02	3.9700e+02	3.2482e+01	2.7533e+00	0.0000e+00	0.0000e+00
7.6200e+02	3.9700e+02	1.2245e+01	8.8104e-01	0.0000e+00	0.0000e+00
7.8300e+02	3.9700e+02	1.0791e+01	-4.6884e+00	0.0000e+00	0.0000e+00
8.0400e+02	3.9700e+02	-5.3645e+00	-5.1139e+00	0.0000e+00	0.0000e+00
8.2500e+02	3.9700e+02	7.5823e+00	3.0516e+00	0.0000e+00	0.0000e+00
2.7000e+01	3.7600e+02	5.1692e+00	-7.0062e+01	0.0000e+00	0.0000e+00
4.8000e+01	3.7600e+02	6.8141e+01	-7.5037e+01	0.0000e+00	0.0000e+00
6.9000e+01	3.7600e+02	-3.8140e-01	-6.7940e+01	0.0000e+00	0.0000e+00
9.0000e+01	3.7600e+02	-7.5165e+01	-3.0285e+01	0.0000e+00	0.0000e+00
1.1100e+02	3.7600e+02	3.0460e+00	7.0376e+01	0.0000e+00	0.0000e+00
1.3200e+02	3.7600e+02	-8.2150e+01	7.9915e+01	0.0000e+00	0.0000e+00
1.5300e+02	3.7600e+02	6.6108e+01	7.6975e+01	0.0000e+00	0.0000e+00
1.7400e+02	3.7600e+02	9.9344e-01	7.3233e+01	0.0000e+00	0.0000e+00
1.9500e+02	3.7600e+02	-7.3885e+01	7.1596e+01	0.0000e+00	0.0000e+00
2.1600e+02	3.7600e+02	-2.0064e+00	2.4447e+01	0.0000e+00	0.0000e+00
2.3700e+02	3.7600e+02	-4.2708e+01	6.6890e+01	0.0000e+00	0.0000e+00
2.5800e+02	3.7600e+02	1.8295e+01	8.6554e+00	0.0000e+00	0.0000e+00
2.7900e+02	3.7600e+02	2.5198e+00	7.0743e+01	0.0000e+00	0.0000e+00
3.0000e+02	3.7600e+02	-7.0770e+01	7.3261e+01	0.0000e+00	0.0000e+00
3.2100e+02	3.7600e+02	1.4606e+01	-8.0832e+01	0.0000e+00	0.0000e+00
3.4200e+02	3.7600e+02	1.9921e-01	-7.3766e+01	0.0000e+00	0.0000e+00
3.6300e+02	3.7600e+02	-7.4964e+01	-2.7748e+01	0.0000e+00	0.0000e+00
3.8400e+02	3.7600e+02	5.8802e+00	6.8906e+01	0.0000e+00	0.0000e+00
4.0500e+02	3.7600e+02	-7.2474e+01	7.2734e+01	0.0000e+00	0.0000e+00
4.2600e+02	3.7600e+02	7.0124e+01	7.8256e+01	0.0000e+00	0.0000e+00
4.4700e+02	3.7600e+02	3.3066e+01	7.2247e+01	0.0000e+00	0.0000e+00
4.6800e+02	3.7600e+02	-7.0490e+01	7.3418e+01	0.0000e+00	0.0000e+00
4.8900e+02	3.7600e+02	-6.9554e+01	-3.1357e+00	0.0000e+00	0.0000e+00
5.1000e+02	3.7600e+02	-1.2633e+00	1.1475e-01	0.0000e+00	0.0000e+00
5.3100e+02	3.7600e+02	-2.2726e+00	8.0978e+00	0.0000e+00	0.0000e+00
5.5200e+02	3.7600e+02	-6.7937e+01	6.5687e+01	0.0000e+00	0.0000e+00
5.7300e+02	3.7600e+02	6.6156e+01	-3.9340e+01	0.0000e+00	0.0000e+00
5.9400e+02	3.7600e+02	6.8129e+01	-1.9439e+01	0.0000e+00	0.0000e+00
6.1500e+02	3.7600e+02	-8.2554e+01	-1.0170e+01	0.0000e+00	0.0000e+00
6.3600e+02	3.7600e+02	-8.3436e+01	-7.5175e+00	0.0000e+00	0.0000e+00
6.5700e+02	3.7600e+02	-8.3457e+01	-6.1789e+00	0.0000e+00	0.0000e+00
6.7800e+02	3.7600e+02	2.4678e+02	-7.0481e+00	0.0000e+00	0.0000e+00
6.9900e+02	3.7600e+02	-7.8558e+01	-1.0639e+01	0.0000e+00	0.0000e+00
7.2000e+02	3.7600e+02	3.5971e+02	-2.0336e+01	0.0000e+00	0.0000e+00
7.4100e+02	3.7600e+02	-1.0872e+01	-1.2361e+01	0.0000e+00	0.0000e+00
7.6200e+02	3.7600e+02	-5.6381e+00	-4.4651e+00	0.0000e+00	0.0000e+00
7.8300e+02	3.7600e+02	7.2804e+01	7.7241e+01	0.0000e+00	0.0000e+00
8.0400e+02	3.7600e+02	-6.9099e+00	7.7568e+01	0.0000e+00	0.0000e+00
